iter	Passed	Remaining
0	0	41
1	0	38
2	1	37
3	1	36
4	1	35
5	2	35
6	2	35
7	2	34
8	3	33
9	3	33
10	4	32
11	4	32
12	4	31
13	5	31
14	5	30
15	5	30
16	6	30
17	6	29
18	6	29
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	26
29	11	26
30	11	25
31	12	25
32	12	25
33	12	24
34	13	24
35	13	24
36	14	24
37	14	23
38	14	23
39	15	23
40	15	22
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	23	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	26	14
64	26	14
65	26	13
66	27	13
67	27	12
68	28	12
69	28	12
70	28	11
71	29	11
72	29	11
73	30	10
74	30	10
75	31	9
76	31	9
77	31	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	39	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
