iter	Passed	Remaining
0	5	5043
1	5	2799
2	6	2039
3	6	1650
4	7	1415
5	7	1259
6	8	1146
7	8	1063
8	9	1001
9	9	949
10	10	911
11	10	874
12	11	848
13	11	821
14	12	797
15	12	774
16	13	754
17	13	739
18	14	727
19	14	713
20	15	699
21	15	692
22	16	683
23	16	675
24	17	668
25	17	659
26	18	652
27	18	646
28	19	641
29	19	638
30	20	637
31	21	636
32	21	630
33	22	625
34	22	622
35	23	620
36	23	620
37	24	619
38	25	619
39	25	618
40	26	617
41	26	614
42	27	612
43	28	612
44	28	611
45	29	609
46	29	607
47	30	606
48	31	607
49	31	606
50	32	602
51	32	600
52	33	599
53	34	598
54	34	597
55	35	597
56	35	595
57	36	593
58	37	591
59	37	589
60	38	588
61	38	588
62	39	586
63	40	585
64	40	583
65	41	582
66	41	583
67	42	581
68	42	580
69	43	578
70	44	576
71	44	576
72	45	574
73	45	573
74	46	572
75	47	572
76	47	571
77	48	570
78	48	568
79	49	568
80	50	567
81	50	565
82	51	565
83	51	562
84	52	563
85	53	570
86	54	570
87	55	570
88	55	568
89	56	567
90	56	566
91	57	567
92	58	567
93	58	567
94	59	566
95	60	567
96	60	567
97	61	563
98	61	562
99	62	562
100	63	563
101	63	562
102	64	562
103	65	562
104	66	563
105	66	563
106	67	562
107	68	562
108	68	563
109	69	563
110	70	563
111	70	562
112	71	562
113	72	562
114	72	561
115	73	560
116	74	559
117	74	559
118	75	559
119	76	560
120	77	560
121	77	560
122	78	559
123	79	559
124	79	559
125	80	559
126	81	559
127	82	558
128	82	558
129	83	558
130	84	557
131	84	557
132	85	558
133	86	557
134	86	557
135	87	555
136	88	555
137	88	554
138	89	554
139	90	553
140	90	552
141	91	551
142	92	551
143	92	552
144	93	552
145	94	552
146	95	551
147	95	551
148	95	548
149	96	546
150	96	545
151	97	544
152	98	543
153	98	543
154	99	542
155	100	542
156	100	542
157	101	541
158	102	540
159	102	540
160	103	539
161	104	539
162	104	538
163	105	538
164	106	537
165	106	537
166	107	537
167	108	537
168	109	537
169	109	535
170	110	535
171	111	535
172	111	534
173	112	534
174	113	534
175	114	533
176	114	533
177	115	533
178	116	532
179	116	532
180	117	532
181	118	531
182	118	530
183	119	529
184	119	528
185	120	528
186	121	527
187	121	526
188	122	526
189	123	525
190	124	525
191	124	525
192	125	524
193	126	524
194	126	524
195	127	523
196	128	523
197	129	523
198	129	522
199	130	522
200	131	521
201	131	521
202	132	520
203	133	520
204	134	520
205	134	520
206	135	519
207	136	519
208	136	518
209	137	517
210	138	516
211	138	516
212	139	516
213	140	515
214	140	514
215	141	514
216	142	513
217	142	512
218	143	511
219	143	510
220	144	509
221	145	508
222	145	507
223	146	506
224	146	505
225	147	505
226	148	504
227	148	503
228	149	502
229	149	501
230	150	501
231	151	500
232	151	499
233	152	498
234	153	498
235	153	497
236	154	496
237	154	495
238	155	495
239	156	494
240	156	494
241	157	493
242	157	492
243	158	491
244	159	490
245	159	489
246	160	488
247	160	488
248	161	487
249	162	486
250	162	485
251	163	485
252	164	485
253	164	484
254	165	483
255	166	482
256	166	482
257	167	481
258	168	480
259	168	480
260	169	479
261	169	478
262	170	477
263	170	476
264	171	475
265	172	474
266	172	473
267	173	472
268	173	472
269	174	471
270	174	470
271	175	469
272	175	468
273	176	467
274	177	467
275	177	466
276	178	465
277	179	465
278	179	464
279	180	463
280	180	462
281	181	462
282	182	461
283	182	460
284	183	459
285	183	458
286	184	457
287	184	457
288	185	456
289	186	455
290	186	455
291	187	454
292	187	453
293	188	452
294	189	452
295	189	451
296	190	450
297	190	449
298	191	449
299	192	448
300	192	447
301	193	447
302	194	446
303	194	445
304	195	445
305	195	444
306	196	443
307	197	443
308	197	442
309	198	441
310	199	441
311	199	440
312	200	439
313	200	439
314	201	438
315	202	437
316	202	437
317	203	436
318	204	435
319	204	434
320	205	434
321	205	433
322	206	432
323	206	431
324	207	431
325	208	430
326	208	429
327	209	428
328	210	428
329	210	427
330	211	426
331	211	426
332	212	425
333	212	424
334	213	423
335	213	422
336	214	422
337	215	421
338	215	420
339	216	419
340	216	419
341	217	418
342	218	417
343	218	417
344	219	416
345	220	416
346	220	415
347	221	414
348	221	414
349	222	413
350	223	412
351	223	411
352	224	411
353	224	410
354	225	409
355	226	409
356	226	408
357	227	407
358	227	406
359	228	406
360	229	405
361	229	404
362	230	404
363	230	403
364	231	402
365	232	402
366	232	401
367	233	400
